Constituency,Name,Political Party,Votes
MUKONO MUNICIPALITY,BOGERE,INDEPENDENT,152
MUKONO MUNICIPALITY,LUKUBIRA,FDC,1046
MUKONO MUNICIPALITY,BAKIREKE,DP,35341
MUKONO MUNICIPALITY,MUYOMBA,INDEPENDENT,733
JONAM COUNTY,ONGIERTHO,FDC,21443
JONAM COUNTY,JACHAN,NRM,21154
JONAM COUNTY,ORIEDA,INDEPENDENT,2456
PADYERE COUNTY,KAJIK,NRM,31037
PADYERE COUNTY,OCUL,DP,1893
PADYERE COUNTY,ANYWARACH,INDEPENDENT,34937
PADYERE COUNTY,ADUBANGO,JEEMA,1090
KAJARA COUNTY,MUROKOZI,INDEPENDENT,366
KAJARA COUNTY,KAMUGISHA,INDEPENDENT,80
KAJARA COUNTY,TIMUZIGU,NRM,24549
KAJARA COUNTY,BARYAHABWE,FDC,1755
KAJARA COUNTY,TWAMUHABWA,INDEPENDENT,13958
RUHAAMA COUNTY,KAGUNDU,FDC,3309
RUHAAMA COUNTY,KANYENE,INDEPENDENT,26297
RUHAAMA COUNTY,MUBANGIZI,INDEPENDENT,1173
RUHAAMA COUNTY,BEIJUKYE,NRM,43518
RUSHENYI COUNTY,RWEIBURINGI,FDC,2329
RUSHENYI COUNTY,ATUKUNDA,INDEPENDENT,1491
RUSHENYI COUNTY,KARUHANGA,INDEPENDENT,13037
RUSHENYI COUNTY,BYABASHEIJA,INDEPENDENT,2870
RUSHENYI COUNTY,MUGISHA,INDEPENDENT,377
RUSHENYI COUNTY,KARIBWENDE,INDEPENDENT,433
RUSHENYI COUNTY,MWESIGWA,NRM,22933
NTUNGAMO MUNICIPALITY,TUMWESIGYE,UFA,151
NTUNGAMO MUNICIPALITY,KARUHANGA,INDEPENDENT,3284
NTUNGAMO MUNICIPALITY,MUSINGUZI,NRM,2375
BUTEBO COUNTY,NDUGGA,FDC,910
BUTEBO COUNTY,MUDUKOI,INDEPENDENT,17708
BUTEBO COUNTY,LODOI,NRM,12254
BUTEBO COUNTY,ZAID,DP,252
PALLISA COUNTY,KOOLI,INDEPENDENT,1961
PALLISA COUNTY,OKURUT,INDEPENDENT,424
PALLISA COUNTY,SIRANDA,DP,4509
PALLISA COUNTY,OPOLOT,INDEPENDENT,12696
PALLISA COUNTY,OCEN,INDEPENDENT,176
PALLISA COUNTY,OPENUN,INDEPENDENT,3265
PALLISA COUNTY,OWAKO,INDEPENDENT,1659
PALLISA COUNTY,TATAMBUKA,NRM,10995
AGULE COUNTY,OCHWA,NRM,12482
AGULE COUNTY,MUKULA,INDEPENDENT,20316
AGULE COUNTY,OKELLO,FDC,793
KIBALE COUNTY,OLEBO,INDEPENDENT,3076
KIBALE COUNTY,OSEKU,NRM,7077
KAKUUTO COUNTY,KALEMBA,NRM,14137
KAKUUTO COUNTY,LUBEGA,INDEPENDENT,12568
KAKUUTO COUNTY,TUMWINE,INDEPENDENT,1021
KAKUUTO COUNTY,KAGGWA,DP,374
KAKUUTO COUNTY,MUGULA,FDC,1231
KAKUUTO COUNTY,MUGAMBE,INDEPENDENT,2022
KAKUUTO COUNTY,BAKULUMPAGI,INDEPENDENT,1329
KOOKI COUNTY,KAHERU,INDEPENDENT,167
KOOKI COUNTY,NINSIIMA,NRM,12672
KOOKI COUNTY,MPUUGA,INDEPENDENT,11776
KOOKI COUNTY,SSEBUWUFU,INDEPENDENT,4306
KOOKI COUNTY,MUGISHA,INDEPENDENT,857
KOOKI COUNTY,BWOWE,INDEPENDENT,260
KYOTERA COUNTY,KYEYUNE,NRM,32085
KYOTERA COUNTY,NKAMBWE,INDEPENDENT,561
KYOTERA COUNTY,NANSUBUGA,DP,18571
BUYAMBA COUNTY,BWOWE,INDEPENDENT,2654
BUYAMBA COUNTY,NTUMWA,INDEPENDENT,494
BUYAMBA COUNTY,AMOS,NRM,26135
BUYAMBA COUNTY,MUJUZI,INDEPENDENT,1191
BUYAMBA COUNTY,BATAMBA,INDEPENDENT,2224
BUYAMBA COUNTY,SSEMBUUSI,INDEPENDENT,796
BUYAMBA COUNTY,SEKAMWA,INDEPENDENT,2281
RUBABO COUNTY,TUSHABOMWE,INDEPENDENT,21574
RUBABO COUNTY,TURYAHIKAYO,NRM,25154
RUBABO COUNTY,MUGYENZI,FDC,5210
RUBABO COUNTY,MUGISHA,INDEPENDENT,248
RUJUMBURA COUNTY,TUMUHEIRWA,FDC,24754
RUJUMBURA COUNTY,MUHURIZI,INDEPENDENT,4836
RUJUMBURA COUNTY,MUHWEZI,NRM,21233
RUKUNGIRI MUNICIPALITY,KAMUGIISHA,INDEPENDENT,5
RUKUNGIRI MUNICIPALITY,KABANO,INDEPENDENT,182
RUKUNGIRI MUNICIPALITY,MURAMIRA,INDEPENDENT,3
RUKUNGIRI MUNICIPALITY,KAKWATEKI,INDEPENDENT,369
RUKUNGIRI MUNICIPALITY,RUTAHIGWA,NRM,5941
RUKUNGIRI MUNICIPALITY,MUSIIMIRE,INDEPENDENT,79
RUKUNGIRI MUNICIPALITY,MUGUME,FDC,7622
SOROTI COUNTY,ATAI,INDEPENDENT,661
SOROTI COUNTY,EROKU,NRM,3626
SOROTI COUNTY,EITUNGANANE,INDEPENDENT,13356
SOROTI COUNTY,EDIMU,UPC,590
SOROTI COUNTY,ORIOKOT,PPP,426
SOROTI COUNTY,EBWALU,FDC,12883
SOROTI COUNTY,OLIBA,INDEPENDENT,202
SOROTI COUNTY,EKUDO,INDEPENDENT,7860
SOROTI MUNICIPALITY,ARIKO,FDC,9619
SOROTI MUNICIPALITY,ELAJU,INDEPENDENT,99
SOROTI MUNICIPALITY,EKEMU,INDEPENDENT,427
SOROTI MUNICIPALITY,ISEET,INDEPENDENT,6
SOROTI MUNICIPALITY,ATTAN,INDEPENDENT,5716
SOROTI MUNICIPALITY,OJUR,NRM,1560
SOROTI MUNICIPALITY,EBIAN,INDEPENDENT,127
DAKABELA COUNTY,ELOTU,NRM,15662
DAKABELA COUNTY,EGWAU,FDC,7363
DAKABELA COUNTY,EBITU,DP,184
DAKABELA COUNTY,OMINO,UPC,806
DAKABELA COUNTY,ENOMU,INDEPENDENT,5597
WEST BUDAMA COUNTY NORTH,OSINDE,FDC,796
WEST BUDAMA COUNTY NORTH,ALIRA,PPP,447
WEST BUDAMA COUNTY NORTH,ODOI?OYWELOWO,INDEPENDENT,12262
WEST BUDAMA COUNTY NORTH,OKORI,INDEPENDENT,574
WEST BUDAMA COUNTY NORTH,OCHAI,INDEPENDENT,11067
WEST BUDAMA COUNTY NORTH,KAYALA,UPC,282
WEST BUDAMA COUNTY NORTH,OWORA,INDEPENDENT,384
WEST BUDAMA COUNTY NORTH,OPATA,INDEPENDENT,309
WEST BUDAMA COUNTY NORTH,OTIENO OKOTH,NRM,16157
WEST BUDAMA COUNTY NORTH,NYERO,INDEPENDENT,3175
WEST BUDAMA COUNTY SOUTH,JAPIAN,UPC,179
WEST BUDAMA COUNTY SOUTH,ONYANGO,FDC,1880
WEST BUDAMA COUNTY SOUTH,OBOTH,INDEPENDENT,20653
WEST BUDAMA COUNTY SOUTH,AWERE,NRM,19462
WEST BUDAMA COUNTY SOUTH,OCHWO,PPP,336
TORORO MUNICIPALITY,ODAKA,JEEMA,26
TORORO MUNICIPALITY,ORADU,INDEPENDENT,35
TORORO MUNICIPALITY,WANYAMA,INDEPENDENT,73
TORORO MUNICIPALITY,KAIKEDE OLOWO,INDEPENDENT,19
TORORO MUNICIPALITY,OWOR,FDC,370
TORORO MUNICIPALITY,NYADOI,INDEPENDENT,63
TORORO MUNICIPALITY,OMAIDU,INDEPENDENT,281
TORORO MUNICIPALITY,TANNA,INDEPENDENT,7045
TORORO MUNICIPALITY,APOLLO,NRM,7149
TORORO NORTH COUNTY,NYAKECHO,INDEPENDENT,8911
TORORO NORTH COUNTY,OKADET,INDEPENDENT,3183
TORORO NORTH COUNTY,OKELLO,INDEPENDENT,107
TORORO NORTH COUNTY,EKANYA,FDC,8822
TORORO NORTH COUNTY,OTHIENO,NRM,4090
TORORO NORTH COUNTY,OCHWO,INDEPENDENT,93
TORORO NORTH COUNTY,OSINDE,UPC,220
TORORO NORTH COUNTY,OMITA,INDEPENDENT,165
ADJUMANI WEST COUNTY,ALI,NRM,12787
ADJUMANI WEST COUNTY,IRAMA,INDEPENDENT,7295
ADJUMANI EAST COUNTY,DULU,NRM,14043
ADJUMANI EAST COUNTY,MINDRA,INDEPENDENT,991
ADJUMANI EAST COUNTY,ANYAMA,INDEPENDENT,505
ADJUMANI EAST COUNTY,LANGI,INDEPENDENT,5
ADJUMANI EAST COUNTY,PIRO,INDEPENDENT,5741
BUKOOLI COUNTY CENTRAL,LUWANGA,INDEPENDENT,2312
BUKOOLI COUNTY CENTRAL,OGUTTU,FDC,22165
BUKOOLI COUNTY CENTRAL,MUSOGA,INDEPENDENT,858
BUKOOLI COUNTY CENTRAL,SILWANY,NRM,28296
BUKOOLI COUNTY NORTH,BASALIRWA,JEEMA,2942
BUKOOLI COUNTY NORTH,MUGOYA,NRM,19877
BUKOOLI COUNTY NORTH,OUMA,FDC,1001
BUKOOLI COUNTY NORTH,EGESA,INDEPENDENT,6563
BUKOOLI COUNTY NORTH,BAKA,INDEPENDENT,16568
BUKOOLI COUNTY NORTH,JUNET,INDEPENDENT,135
SAMIA BUGWE COUNTY NORTH,ONYANGO,INDEPENDENT,16284
SAMIA BUGWE COUNTY NORTH,ANJOGA,INDEPENDENT,411
SAMIA BUGWE COUNTY NORTH,MULIMBA,NRM,15757
SAMIA BUGWE COUNTY NORTH,MUGENI,INDEPENDENT,269
SAMIA BUGWE COUNTY NORTH,OJAMBO,FDC,1107
SAMIA BUGWE COUNTY SOUTH,OPIO,INDEPENDENT,21362
SAMIA BUGWE COUNTY SOUTH,MATATA,INDEPENDENT,1503
SAMIA BUGWE COUNTY SOUTH,MAGANDA,NRM,21978
SAMIA BUGWE COUNTY SOUTH,OKUMU,FDC,788
BUSIA MUNICIPALITY,MUKASA,JEEMA,2238
BUSIA MUNICIPALITY,MACHO,NRM,6930
BUSIA MUNICIPALITY,EGESSA,INDEPENDENT,79
BUSIA MUNICIPALITY,TAAKA,FDC,6510
BUSIA MUNICIPALITY,BARASA,INDEPENDENT,232
BUSIA MUNICIPALITY,ARMADO,DP,137
USUK COUNTY,AKILENG,INDEPENDENT,476
USUK COUNTY,OKURE,FDC,8073
USUK COUNTY,OLENY,INDEPENDENT,471
USUK COUNTY,APUDA,DP,374
USUK COUNTY,OROMAIT,INDEPENDENT,748
USUK COUNTY,OGWANG,NRM,21848
TOROMA COUNTY,OMIAT,INDEPENDENT,107
TOROMA COUNTY,AMODOI,INDEPENDENT,6511
TOROMA COUNTY,EDYANGU,FDC,198
TOROMA COUNTY,AKABWAI,INDEPENDENT,4285
TOROMA COUNTY,KOLUO,NRM,4994
TOROMA COUNTY,ODAKA,INDEPENDENT,740
TOROMA COUNTY,OSSIYA,INDEPENDENT,3562
NAKASONGOLA COUNTY,KYAGERA,FDC,222
NAKASONGOLA COUNTY,KYEYUNE,INDEPENDENT,10276
NAKASONGOLA COUNTY,KIGUDDE,INDEPENDENT,328
NAKASONGOLA COUNTY,KIRABO,DP,205
NAKASONGOLA COUNTY,WANDIRA,INDEPENDENT,4074
NAKASONGOLA COUNTY,MUTEBI,NRM,14893
BUDYEBO COUNTY,BUTAMANYA,INDEPENDENT,8123
BUDYEBO COUNTY,SSALI,INDEPENDENT,1137
BUDYEBO COUNTY,MUKASA,NRM,15976
KIBALE EAST COUNTY,TUMWEBAZE,NRM,28581
KIBALE EAST COUNTY,ATUHAIRE,FDC,687
KIBALE EAST COUNTY,TUMWINE,INDEPENDENT,4437
BBAALE COUNTY,KIGOZI,INDEPENDENT,2108
BBAALE COUNTY,KIIZA,INDEPENDENT,6472
BBAALE COUNTY,SEBAGANZI,INDEPENDENT,3179
BBAALE COUNTY,KUMAMA,NRM,18805
BBAALE COUNTY,MATTE,INDEPENDENT,606
BBAALE COUNTY,KYAGABA,INDEPENDENT,6797
NTENJERU COUNTY NORTH,LUGOLOOBI,NRM,30963
NTENJERU COUNTY NORTH,NAGUBA,FDC,3370
NTENJERU COUNTY NORTH,BANYUMYA,INDEPENDENT,459
NTENJERU COUNTY SOUTH,WADDIMBA,DP,139
NTENJERU COUNTY SOUTH,MOGA,FDC,621
NTENJERU COUNTY SOUTH,BASEKE,INDEPENDENT,14024
NTENJERU COUNTY SOUTH,NSANJA,NRM,13319
NTENJERU COUNTY SOUTH,NANTUMBWE,INDEPENDENT,209
NTENJERU COUNTY SOUTH,GIDONGO,INDEPENDENT,59
MWENGE COUNTY NORTH,MUHUMUZA,INDEPENDENT,18426
MWENGE COUNTY NORTH,BIGABWOMWE,FDC,310
MWENGE COUNTY NORTH,AKUGIZIBWE,NRM,19144
MWENGE COUNTY SOUTH,KAJARA,NRM,25009
MWENGE COUNTY SOUTH,KALIIJA,FDC,1189
MWENGE COUNTY SOUTH,BYAMUKAMA,INDEPENDENT,17471
MWENGE COUNTY SOUTH,MUGISHA,INDEPENDENT,18560
MWENGE CENTRAL COUNTY,BUSINGE,INDEPENDENT,635
MWENGE CENTRAL COUNTY,KANANURA,INDEPENDENT,536
MWENGE CENTRAL COUNTY,KASUKAALI,INDEPENDENT,11813
MWENGE CENTRAL COUNTY,BUTIME,NRM,19814
BUNYA COUNTY EAST,BYANSI,INDEPENDENT,1051
BUNYA COUNTY EAST,WAMBOGA,INDEPENDENT,730
BUNYA COUNTY EAST,KUBEKETERYA,NRM,13550
BUNYA COUNTY EAST,WAIRA,INDEPENDENT,15956
BUNYA COUNTY EAST,KIGENYI,INDEPENDENT,235
BUNYA COUNTY SOUTH,OWORI,FDC,2025
BUNYA COUNTY SOUTH,ISABIRYE,NRM,18366
BUNYA COUNTY SOUTH,KYEYAGO,INDEPENDENT,784
BUNYA COUNTY SOUTH,NTENDE,INDEPENDENT,18789
BUNYA COUNTY WEST,BAGIIRE,NRM,28249
BUNYA COUNTY WEST,MUBONDE,FDC,7386
BUNYA COUNTY WEST,BAYOLE,INDEPENDENT,6434
BUNYA COUNTY WEST,BABALANDA,DP,772
ARUU COUNTY,AKENA,NRM,6551
ARUU COUNTY,ODONGA,FDC,11683
ARUU COUNTY,OCAYA,INDEPENDENT,869
ARUU NORTH COUNTY,OLOGY,INDEPENDENT,426
ARUU NORTH COUNTY,ONEN,FDC,4428
ARUU NORTH COUNTY,ODONG,INDEPENDENT,4199
ARUU NORTH COUNTY,ACHIRO,INDEPENDENT,8599
ARUU NORTH COUNTY,KIDEGA,NRM,8597
BUDADIRI COUNTY EAST,WONIALA,INDEPENDENT,3380
BUDADIRI COUNTY EAST,SSASAGA,FDC,17092
BUDADIRI COUNTY EAST,MAFABI,INDEPENDENT,421
BUDADIRI COUNTY EAST,WADADA,INDEPENDENT,316
BUDADIRI COUNTY EAST,WOBOYA,NRM,19870
BUDADIRI COUNTY  WEST,WAMBAKA,NRM,15867
BUDADIRI COUNTY  WEST,NANDALA,FDC,27213
ENTEBBE MUNICIPALITY,WALUSIMBI,INDEPENDENT,1657
ENTEBBE MUNICIPALITY,KATUNTU,INDEPENDENT,208
ENTEBBE MUNICIPALITY,MUZOORA,INDEPENDENT,229
ENTEBBE MUNICIPALITY,KIWANUKA,INDEPENDENT,514
ENTEBBE MUNICIPALITY,SENFUMA,INDEPENDENT,269
ENTEBBE MUNICIPALITY,KIRUMIRA,INDEPENDENT,872
ENTEBBE MUNICIPALITY,MULIBANGA,FDC,2384
ENTEBBE MUNICIPALITY,BALEKE,INDEPENDENT,541
ENTEBBE MUNICIPALITY,ZALWANGO,INDEPENDENT,1874
ENTEBBE MUNICIPALITY,KAKEMBO,DP,8339
ENTEBBE MUNICIPALITY,BALIHAFI,INDEPENDENT,340
ENTEBBE MUNICIPALITY,TUMUSIIME,NRM,8827
ENTEBBE MUNICIPALITY,MUBANGIZI,INDEPENDENT,1065
ARINGA COUNTY,OLEGA,NRM,10420
ARINGA COUNTY,TIBRICHU,INDEPENDENT,8634
ARINGA COUNTY,ANGUYO,INDEPENDENT,1995
ARINGA COUNTY,ANGOLIGA,FDC,3217
ARINGA COUNTY,EZAMA,INDEPENDENT,3708
ARINGA NORTH COUNTY,ONZIMA,NRM,8946
ARINGA NORTH COUNTY,ACHILE,INDEPENDENT,6971
ARINGA NORTH COUNTY,BOMBASA,JEEMA,1272
ARINGA SOUTH COUNTY,AVAKO,FDC,629
ARINGA SOUTH COUNTY,MATUA,INDEPENDENT,624
ARINGA SOUTH COUNTY,IYIGA,NRM,9469
ARINGA SOUTH COUNTY,ABELLE,UPC,345
ARINGA SOUTH COUNTY,ALIONI,INDEPENDENT,10967
KABERAMAIDO COUNTY,EDAKASI,INDEPENDENT,11591
KABERAMAIDO COUNTY,ELIANU,INDEPENDENT,534
KABERAMAIDO COUNTY,OGELA,UPC,331
KABERAMAIDO COUNTY,EMIGU,FDC,6236
KABERAMAIDO COUNTY,ISALA ERAGU,NRM,12242
KALAKI COUNTY,ONGALO?OBOTE,NRM,21122
KALAKI COUNTY,EMODO,INDEPENDENT,816
KALAKI COUNTY,ELYAU,FDC,3840
KALAKI COUNTY,ELYAU,INDEPENDENT,931
KALAKI COUNTY,EUKU,UPC,6370
KINKIZI COUNTY EAST,MPWABWOBA,FDC,1795
KINKIZI COUNTY EAST,BARYOMUNSI,NRM,25792
KINKIZI COUNTY EAST,MUHUMUZA,INDEPENDENT,654
KINKIZI COUNTY EAST,NIWAGABA,INDEPENDENT,564
KINKIZI COUNTY EAST,HAKIIZUMWAMI,INDEPENDENT,14129
KINKIZI COUNTY WEST,TWINOMUGABE,FDC,4353
KINKIZI COUNTY WEST,AHIMBISIBWE,INDEPENDENT,10101
KINKIZI COUNTY WEST,KYATUHEIRE,INDEPENDENT,5666
KINKIZI COUNTY WEST,NIRINGIYIMANA,NRM,26003
KINKIZI COUNTY WEST,KAMWESIGA,INDEPENDENT,3132
CHEKWII COUNTY (KADAM),ADIAKA,FDC,221
CHEKWII COUNTY (KADAM),ALEPER,INDEPENDENT,9067
CHEKWII COUNTY (KADAM),LOKERIS,NRM,10635
PIAN COUNTY,MANIMAN,INDEPENDENT,4229
PIAN COUNTY,ALINGA,FDC,65
PIAN COUNTY,LOKOL,INDEPENDENT,97
PIAN COUNTY,ACHIA,NRM,9512
KIOGA COUNTY,OKELLO,NRM,21627
KIOGA COUNTY,OJOK,FDC,4128
KIOGA COUNTY,OLOBO,INDEPENDENT,14920
KIOGA COUNTY,CONG,UPC,5330
KAPELEBYONG COUNTY,ESENU,INDEPENDENT,2337
KAPELEBYONG COUNTY,ATUTO,INDEPENDENT,340
KAPELEBYONG COUNTY,MALINGA,NRM,8554
KAPELEBYONG COUNTY,OCHEN,INDEPENDENT,14064
KAPELEBYONG COUNTY,ESELU,FDC,669
ORUNGO COUNTY,ESERU,INDEPENDENT,1734
ORUNGO COUNTY,ODONGO,NRM,16218
ORUNGO COUNTY,ELUMU,FDC,889
BUNYOLE EAST COUNTY,NAGWOMU,NRM,17468
BUNYOLE EAST COUNTY,MWANGALE,FDC,2798
BUNYOLE EAST COUNTY,MUTEMBULI,INDEPENDENT,16292
BUNYOLE WEST COUNTY,MUTIWA,INDEPENDENT,10160
BUNYOLE WEST COUNTY,MBUBI,INDEPENDENT,145
BUNYOLE WEST COUNTY,WANGOLO,INDEPENDENT,8930
BUNYOLE WEST COUNTY,WALUSWAKA,NRM,12640
IBANDA COUNTY NORTH,MURIGYE,FDC,276
IBANDA COUNTY NORTH,GUMA,NRM,21643
IBANDA COUNTY NORTH,KANYANDEKWE,INDEPENDENT,69
IBANDA COUNTY NORTH,KYOOMA,INDEPENDENT,21355
IBANDA COUNTY SOUTH,BYARUHANGA,FDC,4712
IBANDA COUNTY SOUTH,BYABAGAMBI,NRM,42516
IBANDA COUNTY SOUTH,TAKAHIKIRE,INDEPENDENT,1498
BUKANGA COUNTY,TUMUSIIME,INDEPENDENT,456
BUKANGA COUNTY,BYANYIMA,INDEPENDENT,18697
BUKANGA COUNTY,KANGWAGYE,NRM,29971
BUKANGA COUNTY,TURIYO,FDC,1290
ISINGIRO COUNTY NORTH,RUTAHWAIRE,FDC,1671
ISINGIRO COUNTY NORTH,RWAMIRAMA,NRM,23081
ISINGIRO COUNTY NORTH,MUGYENYI,INDEPENDENT,17881
ISINGIRO COUNTY SOUTH,BYARUGABA,NRM,27214
ISINGIRO COUNTY SOUTH,RWAKAIZI,INDEPENDENT,2181
ISINGIRO COUNTY SOUTH,TUMWESIGYE,INDEPENDENT,12356
ISINGIRO COUNTY SOUTH,ATUHAIRE,INDEPENDENT,625
ISINGIRO COUNTY SOUTH,KANYESIGYE,FDC,1679
ISINGIRO COUNTY SOUTH,MUTAMBA,INDEPENDENT,720
DODOTH EAST COUNTY,NGOROK,INDEPENDENT,3915
DODOTH EAST COUNTY,LOKERIS,NRM,22090
DODOTH WEST COUNTY,LODOU,INDEPENDENT,725
DODOTH WEST COUNTY,ABELLE,INDEPENDENT,836
DODOTH WEST COUNTY,LOKWANG,INDEPENDENT,4924
DODOTH WEST COUNTY,LOKODO,NRM,5278
IK COUNTY,LOKWANG,NRM,1245
IK COUNTY,LOKOL,INDEPENDENT,416
BULAMOGI COUNTY,KANYWAMUSAI,INDEPENDENT,499
BULAMOGI COUNTY,LUBOGO,NRM,19179
BULAMOGI COUNTY,GONAHASA,JEEMA,361
BULAMOGI COUNTY,WAAKO,INDEPENDENT,1057
BULAMOGI COUNTY,WAMBUZI,INDEPENDENT,10638
BULAMOGI COUNTY,KITAKULE,INDEPENDENT,428
BULAMOGI COUNTY,MUYANGA,FDC,16546
BULAMOGI NORTH WEST,YAHYA,INDEPENDENT,22
BULAMOGI NORTH WEST,GUME,NRM,10702
BULAMOGI NORTH WEST,KASAJJA,INDEPENDENT,8951
BULAMOGI NORTH WEST,BAMUKOBEIRE,UFA,83
KAZO COUNTY,MWETEISE,FDC,4772
KAZO COUNTY,BAFAKI,NRM,58569
KASHONGI COUNTY,TURINAWE,INDEPENDENT,1484
KASHONGI COUNTY,TUMURAMYE,NRM,12636
KASHONGI COUNTY,KATWINOMUGISHA,INDEPENDENT,241
KASHONGI COUNTY,ATUHAIRE,FDC,499
KOBOKO COUNTY,DRONYI,DP,7149
KOBOKO COUNTY,BABA,NRM,17850
KOBOKO NORTH COUNTY,ASIKU,NRM,6897
KOBOKO NORTH COUNTY,TIPERU,INDEPENDENT,6213
KOBOKO MUNICIPALITY,YAKANI,FDC,3325
KOBOKO MUNICIPALITY,ANITE,NRM,6392
KOBOKO MUNICIPALITY,ALEGE,INDEPENDENT,417
KOBOKO MUNICIPALITY,BAIGA,INDEPENDENT,225
MITYANA COUNTY SOUTH,MAKUMBI,NRM,10661
MITYANA COUNTY SOUTH,LUMU,DP,6407
LABWOR COUNTY,AYEPA,NRM,17661
LABWOR COUNTY,OKELLO,INDEPENDENT,4091
KILAK SOUTH COUNTY,OLANYA,FDC,16983
KILAK SOUTH COUNTY,LANAM,INDEPENDENT,625
KILAK SOUTH COUNTY,NYEKO,NRM,4279
KILAK NORTH COUNTY,AKOL,FDC,12007
KILAK NORTH COUNTY,OJERA,NRM,4691
KILAK NORTH COUNTY,ADOCH,DP,621
KILAK NORTH COUNTY,AYIGA,JEEMA,197
KILAK NORTH COUNTY,SIMBA,INDEPENDENT,999
KILAK NORTH COUNTY,OKOT,INDEPENDENT,90
KILAK NORTH COUNTY,ATUBE,INDEPENDENT,551
BUDAKA COUNTY,MUKAMBA,INDEPENDENT,2140
BUDAKA COUNTY,MUGULUSI,INDEPENDENT,2702
BUDAKA COUNTY,MUSEDE,INDEPENDENT,4498
BUDAKA COUNTY,KASIBBO,INDEPENDENT,9029
BUDAKA COUNTY,MBOGO,NRM,16257
BUDAKA COUNTY,MWESI,INDEPENDENT,847
BUDAKA COUNTY,MUNUNA,FDC,995
IKI?IKI COUNTY,TWA?TWA,INDEPENDENT,7202
IKI?IKI COUNTY,KASOLO,NRM,14225
IKI?IKI COUNTY,GAWAYA,FDC,3540
BULIISA COUNTY,PADDY,INDEPENDENT,266
BULIISA COUNTY,KAMUGISA,NRM,12144
BULIISA COUNTY,KASIGWA,DP,202
BULIISA COUNTY,BIRAAHWA,INDEPENDENT,15210
DOKOLO NORTH COUNTY,OKELLO,FDC,14978
DOKOLO NORTH COUNTY,AMORU,NRM,15442
BUKONO COUNTY,WAISWA,INDEPENDENT,135
BUKONO COUNTY,NAMUWOZA,INDEPENDENT,454
BUKONO COUNTY,TIBAIRIRA,FDC,87
BUKONO COUNTY,ATUWAIRE,INDEPENDENT,108
BUKONO COUNTY,SAIRE,NRM,9707
BUKONO COUNTY,NAMUGANZA,INDEPENDENT,12740
BUKONO COUNTY,MUYINDA,DP,72
BUKONO COUNTY,NAITAMU,INDEPENDENT,67
OYAM COUNTY NORTH,OKELLO.P CHARLES,NRM,21785
OYAM COUNTY NORTH,AYENA ODONGO,UPC,15796
OYAM COUNTY NORTH,OMODO,INDEPENDENT,3537
OYAM COUNTY NORTH,OJWANG GEORGE,INDEPENDENT,9156
OYAM COUNTY SOUTH,ONGOM MORRIS,INDEPENDENT,2579
OYAM COUNTY SOUTH,OGWARA,INDEPENDENT,405
OYAM COUNTY SOUTH,OGWANG PATRICK,NRM,11272
OYAM COUNTY SOUTH,AMONGI BETTY,UPC,28655
OYAM COUNTY SOUTH,ODONGO,INDEPENDENT,3097
MARACHA COUNTY,AADROA,INDEPENDENT,8213
MARACHA COUNTY,ANGUALIA,NRM,6378
MARACHA COUNTY,OGUZU,FDC,8910
MARACHA EAST COUNTY,ACIDRI,NRM,24684
MARACHA EAST COUNTY,ERIMA,FDC,2074
MARACHA EAST COUNTY,ADRIKO,INDEPENDENT,2583
MANJIYA COUNTY,NAMBESHE,NRM,16308
MANJIYA COUNTY,MATSYETSYE,INDEPENDENT,1033
MANJIYA COUNTY,WAMBOKO,FDC,8376
LUTSESHE COUNTY,WAMARA,INDEPENDENT,1058
LUTSESHE COUNTY,WAFUTSEYOH,FDC,582
LUTSESHE COUNTY,WATENGA,INDEPENDENT,9687
LUTSESHE COUNTY,MODOI,NRM,8598
BUKEDEA COUNTY,OKWAKOL,INDEPENDENT,244
BUKEDEA COUNTY,OKWEREDDE,FDC,1662
BUKEDEA COUNTY,IKOJO,NRM,33062
BUKEDEA COUNTY,EYATU,INDEPENDENT,5238
BUKEDEA COUNTY,OPEJO,INDEPENDENT,554
KACHUMBALA COUNTY,OMAGOR,INDEPENDENT,4207
KACHUMBALA COUNTY,ALEKO,INDEPENDENT,1755
KACHUMBALA COUNTY,ETIANG,INDEPENDENT,195
KACHUMBALA COUNTY,OPOLOT ISIAGI,NRM,11366
KABULA COUNTY,ASIIMWE,NRM,15104
KABULA COUNTY,KAKOOZA,INDEPENDENT,15458
KABULA COUNTY,MUGENYI,DP,607
UPE COUNTY,KIPTERIT,INDEPENDENT,14143
UPE COUNTY,LOLEM,NRM,11847
LUGAZI MUNICIPALITY,SSALI,INDEPENDENT,4427
LUGAZI MUNICIPALITY,LULE,INDEPENDENT,866
LUGAZI MUNICIPALITY,SENDI,FDC,721
LUGAZI MUNICIPALITY,MUSOKE,INDEPENDENT,1002
LUGAZI MUNICIPALITY,MULINDWA,NRM,13322
LUGAZI MUNICIPALITY,LUGUDDE,INDEPENDENT,370
LUGAZI MUNICIPALITY,BOGERE,SDP,4918
LUGAZI MUNICIPALITY,LUGOMA,INDEPENDENT,347
LUGAZI MUNICIPALITY,SSERUBULA,DP,8752
BUIKWE COUNTY SOUTH,MUKASA,INDEPENDENT,378
BUIKWE COUNTY SOUTH,MUTEBI,NRM,22919
BUIKWE COUNTY SOUTH,KANAABI,FDC,492
BUIKWE COUNTY SOUTH,SEMBUYA,INDEPENDENT,2515
