AGAGO COUNTY,"OKOT JOHN AMOS
AKELLO JUDITH FRANCA","NRM
FDC","Directly Elected MP
District Woman Representative"
BUNYARUGURU,CADET BENJAMIN,Independent,Directly Elected MP
COUNTY,,,
KATERERA COUNTY,KATOTO HATWIB,NRM,Directly Elected MP
,MBABAZI BETTY,NRM,District Woman
,AHIMBISIBWE,,Representative
KAMPALA CENTRAL,NSEREKO MUHAMMAD,NRM,Directly Elected MP
DIVISION,,,
KAWEMPE DIVISION,SSEBAGALA ABDLARTIF,DP,Directly Elected MP
NORTH,SSENGENDO,,
KAWEMPE DIVISION,SEBULIBA MUTUMBA,DP,Directly Elected MP
SOUTH,RICHARD,,
MAKINDYE DIVISION,SSIMBWA JOHN,NRM,Directly Elected MP
EAST,,,
MAKINDYE DIVISION,KYANJO HUSSEIN,JEEMA,Directly Elected MP
WEST,SILMAN,,
Constituency,,Political Party,Category
RUBAGA DIVISION,,NRM,Directly Elected MP
NORTH,,,
RUBAGA DIVISION,,CP,Directly Elected MP
SOUTH,,,
NAKAWA DIVISION,,NRM,Directly Elected MP
,,FDC,District Woman
,,,Representative
BUGABULA COUNTY,,Independent,Directly Elected MP
NORTH,,,
BUGABULA COUNTY,,Independent,Directly Elected MP
SOUTH,,,
BUZAAYA COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
TINGEY COUNTY,,"NRM
Independent","Directly Elected MP
District Woman Representative"
BUKONZO COUNTY,,FDC,Directly Elected MP
EAST,,,
BUKONJO COUNTY,,NRM,Directly Elected MP
WEST,,,
BUSONGORA,,FDC,Directly Elected MP
COUNTY NORTH,,,
BUSONGORA,,NRM,Directly Elected MP
COUNTY SOUTH,,,
KASESE,,NRM,Directly Elected MP
MUNICIPALITY,,,
,,FDC,District Woman
,,,Representative
BUGANGAIZI WEST,,NRM,Directly Elected MP
COUNTY,,,
BUYAGA EAST,,NRM,Directly Elected MP
COUNTY,,,
BUYANJA COUNTY,,NRM,Directly Elected MP
BUGANGAIZI EAST,,NRM,Directly Elected MP
COUNTY,,,
BUYAGA WEST,,NRM,Directly Elected MP
COUNTY,,,
,,NRM,District Woman
,,,Representative
Constituency,Name,Political Party,Category
KIBOGA  EAST,KABAJO JAMES,NRM,Directly Elected MP
COUNTY,KYEWALABYE,,
,NANKABIRWA RUTH,NRM,District Woman
,SENTAMU,,Representative
BUFUMBIRA COUNTY,KWIZERA EDDIE WA,NRM,Directly Elected MP
EAST,GAHUNGU,,
BUFUMBIRA COUNTY,KAMARA JOHN,NRM,Directly Elected MP
NORTH,NIZEYIMANA,,
BUFUMBIRA COUNTY,BUCYANAYANDI TRESS,NRM,Directly Elected MP
SOUTH,,,
,NYIRABASHITSI SARAH,NRM,District Woman
,MATEKE,,Representative
CHUA COUNTY,"ORYEM HENRY OKELLO
ATIM ANYWAR BEATRICE","NRM
FDC","Directly Elected MP
District Woman Representative"
JIE COUNTY,"LOKII PETER ABRAHAMS
ALEPER MARGARET ACHILLA","NRM
NRM","Directly Elected MP
District Woman Representative"
KUMI COUNTY,"AMURIAT OBOI PATRICK
AMONGIN APORU CHRISTINE HELLEN","FDC
NRM","Directly Elected MP
District Woman Representative"
ERUTE COUNTY,OMARA GEOFFREY,NRM,Directly Elected MP
NORTH,,,
ERUTE COUNTY,ENGOLA SAM,NRM,Directly Elected MP
SOUTH,,,
LIRA MUNICIPALITY,AKENA JAMES MICHARL,UPC,Directly Elected MP
,JIMMY,,
,ATIM JOY ONGOM,Independent,District Woman
,,,Representative
KATIKAMU COUNTY,BYANDALA ABRAHAM,NRM,Directly Elected MP
NORTH,JAMES,,
KATIKAMU COUNTY,KHIDDU MAKUBUYA,NRM,Directly Elected MP
SOUTH,EDWARD,,
BAMUNANIKA,MUYINGO JOHN,Independent,Directly Elected MP
COUNTY,CHRYSOSTOM,,
,LUKWAGO REBECCA,NRM,District Woman
,NALWANGA,,Representative
BUKOTO COUNTY EAST,NAMAYANJA FLORENCE,DP,Directly Elected MP
Constituency,Name,Political Party,Category
BUKOTO COUNTY,SSEKANDI EDWARD,NRM,Directly Elected MP
CENTRAL,KIWANUKA,,
MASAKA,MPUUGA MATHIAS,Independent,Directly Elected MP
MUNICIPALITY,,,
,KASE-MUBANDA FREDA,NRM,District Woman
,NANZIRI,,Representative
BUJENJE COUNTY,KABAKUMBA MASIKO,NRM,Directly Elected MP
,LABWONI,,
BURULI COUNTY,NYIIRA ZERUBABEL,NRM,Directly Elected MP
,MIJUMBI,,
MASINDI,KIIZA MONDAY ERNEST,NRM,Directly Elected MP
MUNICIPALITY,APUULI,,
,BINTU JALIA LUKUMU N.,NRM,District Woman
,ABWOLI,,Representative
BUNGOKHO COUNTY,GUDOI YAHAYA,NRM,Directly Elected MP
NORTH,,,
BUNGOKHO COUNTY,KAFABUSA WERIKHE,NRM,Directly Elected MP
SOUTH,MICHAEL,,
MBALE MUNICIPALITY,WAMANGA WAMAI JACK,FDC,Directly Elected MP
,NAKAYENZE CONNIE,NRM,District Woman
,GALIWANGO,,Representative
KASHARI COUNTY,YAGUMA WILBERFORCE,NRM,Directly Elected MP
RWAMPARA COUNTY,MUJUNI VICENT,NRM,Directly Elected MP
,KYAMADIDI,,
MBARARA,BITEKYEREZO KAB,NRM,Directly Elected MP
MUNICIPALITY,MEDARD,,
,BOONA EMMA,NRM,District Woman
,,,Representative
MATHENIKO COUNTY,LOKII JOHN BAPTIST,NRM,Directly Elected MP
MOROTO,ALEPER SIMON PETER,NRM,Directly Elected MP
MUNICIPALITY,,,
,IRIAMA MARGARET,NRM,District Woman
,,,Representative
OBONGI COUNTY,FUNGAROO KAPS,FDC,Directly Elected MP
,HASSAN,,
WEST MOYO,ALERO TOM AZA,NRM,Directly Elected MP
COUNTY,,,
,AURU ANNE,NRM,District Woman
,,,Representative
MAWOKOTA COUNTY NORTH,KYAMBADDE AMELIA ANNE,NRM,Directly Elected MP
Constituency,Name,Political Party,Category
MAWOKOTA,KIYINGI BBOSA KENNETH,Independent,Directly Elected MP
COUNTY SOUTH,JOSEPH,,
,NAKAWUNDE SARAH,NRM,District Woman
,TEMULANDA,,Representative
BUWEKULA COUNTY,SSEMMULI ANTHONY,NRM,Directly Elected MP
KASSANDA COUNTY,LUBEGA GODFREY,Independent,Directly Elected MP
NORTH,,,
KASSANDA COUNTY,NYOMBI THEMBO,NRM,Directly Elected MP
SOUTH,GEORGE WILLIAM,,
KASAMBYA COUNTY,MULINDWA PATRICK,NRM,Directly Elected MP
,NAMUGWANYA BENNY,NRM,District Woman
,BUGEMBE,,Representative
MUKONO COUNTY,KIBUULE RONALD,NRM,Directly Elected MP
NORTH,,,
MUKONO COUNTY,BAKALUBA MUKASA,NRM,Directly Elected MP
SOUTH,PETER,,
NAKIFUMA COUNTY,KAFEERO SSEKITOLEKO,Independent,Directly Elected MP
,ROBERT,,
MUKONO,BAKIREKE NAMBOOZE,DP,Directly Elected MP
MUNICIPALITY,BETTY,,
,KUSASIRA PEACE,NRM,District Woman
,KANYESIGYE MUBIRU,,Representative
JONAM COUNTY,JACAN OMACH FRED,NRM,Directly Elected MP
,MANDIR,,
PADYERE COUNTY,ANYWARACH JOSHUA,Independent,Directly Elected MP
,CARTER,,
,ACAYO CHRISTINE,NRM,District Woman
,CWINYA-AI,,Representative
KAJARA COUNTY,TASHOBYA N. STEPHEN,NRM,Directly Elected MP
RUHAAMA COUNTY,KATAAHA JANET,NRM,Directly Elected MP
,MUSEVENI,,
RUSHENYI COUNTY,RUKUTANA MWESIGWA,NRM,Directly Elected MP
NTUNGAMO,MUSINGUZI YONA,NRM,Directly Elected MP
MUNICIPALITY,,,
,KABASHARIRA NAOME,NRM,District Woman
,,,Representative
BUTEBO COUNTY,MALLINGA STEPHEN,NRM,Directly Elected MP
,OSCAR,,
PALLISA COUNTY,OPOLOT JACOB,NRM,Directly Elected MP
,RICHARDS,,
,,,
AGULE COUNTY,"OCHWA DAVID
AMOIT JUDITH MARY","NRM
NRM","Directly Elected MP
District Woman Representative"
KAKUUTO COUNTY KOOKI COUNTY KYOTERA COUNTY,"KASAMBA MATHIAS MANDERA AMOS KYEYUNE HARUN
MUTAGAMBA MARIA","NRM NRM
Independent
NRM","Directly Elected MP Directly Elected MP Directly Elected MP
District Woman Representative"
RUBABO COUNTY,TURYAHIKAYO,NRM,Directly Elected MP
,KEBIRUNGI MARY PAULA,,
RUJUMBURA,MUHWEZI JIM KATUGUGU,NRM,Directly Elected MP
COUNTY,,,
RUKUNGIRI,MUGUME ROLAND,FDC,Directly Elected MP
MUNICIPALITY,,,
,SEZI PRISCA BESSY,NRM,District Woman
,MBAGUTA,,Representative
SOROTI COUNTY,OMOLO PETER,FDC,Directly Elected MP
SOROTI,MUKULA GEORGE,NRM,Directly Elected MP
MUNICIPALITY,MICHAEL,,
,OSEGGE ANGELLINE,FDC,District Woman
,,,Representative
WEST BUDAMA,ODOI OYWELOWO FOX,Independent,Directly Elected MP
COUNTY NORTH,,,
WEST BUDAMA,OBOTH MARKSONS,Independent,Directly Elected MP
COUNTY SOUTH,JACOB,,
TORORO COUNTY,EKANYA GEOFREY,FDC,Directly Elected MP
TORORO,TANNA SANJAY,Independent,Directly Elected MP
MUNICIPALITY,,,
,ACHIENG SARAH OPENDI,NRM,District Woman
,,,Representative
EAST MOYO COUNTY,"ALI MOSES
ABABIKU JESCA","NRM
Independent","Directly Elected MP
District Woman Representative"
BUKOOLI COUNTY,OGUTTU WAFULA,FDC,Directly Elected MP
CENTRAL,PHILLIP,,
BUKOOLI COUNTY,BAKA STEPHEN MUGABI,NRM,Directly Elected MP
NORTH,,,
Constituency,Name,Political Party,Category
,KASULE JUSTINE LUMUMBA,NRM,District Woman Representative
SAMIA BUGWE,MULIMBA JOHN,NRM,Directly Elected MP
COUNTY NORTH,,,
SAMIA BUGWE,MAGANDA JULIUS,Independent,Directly Elected MP
COUNTY SOUTH,,,
BUSIA MUNICIPALITY,TAAKA KEVINAH WANAHA,FDC,Directly Elected MP
,WANDERA,,
,NEKESA BARBARA,NRM,District Woman
,OUNDO,,Representative
USUK COUNTY TOROMA COUNTY,"OROMAIT MACHAEL
AMODOI CYRUS IMALINGAT
ALUPO JESSICA ROSE EPEL","Independent Independent
NRM","Directly Elected MP Directly Elected MP
District Woman Representative"
NAKASONGOLA,NYOMBI PETER,NRM,Directly Elected MP
COUNTY,,,
BUDYEBO COUNTY,MUKASA MURULI WILSON,NRM,Directly Elected MP
,KOMUHANGI MARGARET,NRM,District Woman
,,,Representative
LWEMIYAGA COUNTY,SSEKIKUBO THEODORE,NRM,Directly Elected MP
MAWOGOLA COUNTY,KUTESA KAHAMBA,NRM,Directly Elected MP
,SAMUEL,,
,BANGIRANA ANIFA,NRM,District Woman
,KAWOOYA,,Representative
KIBALE COUNTY,TUMWEBAZE KAGYIGYI,NRM,Directly Elected MP
,FRANK,,
KITAGWENDA,BYAMUKAMA NULU,NRM,Directly Elected MP
COUNTY,,,
,NSHAIJA DOROTHY,NRM,District Woman
,KABARAITSYA,,Representative
BBALE COUNTY,MADADA KYEBAKOZE,NRM,Directly Elected MP
,SULEIMAN,,
NTENJERU COUNTY,LUGOLOOBI  AMOS,NRM,Directly Elected MP
NORTH,,,
NTENJERU COUNTY,NSANJA PATRICK K.,Independent,Directly Elected MP
SOUTH,MABIRIZI,,
,NANTABA IDAH ERIOS,NRM,District Woman
,,,Representative
,,,
MWENGE COUNTY,MUHUMUZA DAVID,NRM,Directly Elected MP
NORTH,,,
MWENGE COUNTY,KAJARA ASTON,NRM,Directly Elected MP
SOUTH,PETERSON,,
,TIMBIGAMBA LYNDAH,NRM,District Woman
,,,Representative
BUNYA COUNTY,WAIRA KYEWALABYE,NRM,Directly Elected MP
EAST,MAJEGERE,,
BUNYA COUNTY,ISABIRYE IDDI,NRM,Directly Elected MP
SOUTH,,,
BUNYA COUNTY,BAGIIRE VINCENT,NRM,Directly Elected MP
WEST,WAISWA .O.,,
,NAKADAMA RUKIA,NRM,District Woman
,ISANGA,,Representative
ARUU COUNTY,"ODONGA OTTO SAMUEL
LOWILA CD OKETAYOT","FDC
NRM","Directly Elected MP
District Woman Representative"
BUDADIRI COUNTY,SSASAGA ISAIAS JOHNY,FDC,Directly Elected MP
EAST,,,
BUDADIRI COUNTY,NANDALA-MAFABI,FDC,Directly Elected MP
WEST,NATHAN,,
,WADADA FEMIAR,FDC,District Woman
,,,Representative
BUSIRO COUNTY,LUBEGA MEDARD,DP,Directly Elected MP
EAST,SSEGGONA,,
BUSIRO COUNTY,BUKENYA BALIBASEKA,NRM,Directly Elected MP
NORTH,GILBERT,,
BUSIRO COUNTY,MUTEBI JOSEPH,DP,Directly Elected MP
SOUTH,BALIKUDEMBE,,
KYADONDO COUNTY,SSEMUJJU BRAHIM,FDC,Directly Elected MP
EAST,NGANDA,,
KYADONDO COUNTY,KASULE ROBERT,NRM,Directly Elected MP
NORTH,,,
KYADONDO COUNTY,KIKUNGWE ISSA,DP,Directly Elected MP
SOUTH,,,
ENTEBBE,KAWUMA MOHAMED,DP,Directly Elected MP
MUNICIPALITY,,,
,NANSUBUGA ROSEMARY,NRM,District Woman
,SENINDE,,Representative
ARINGA COUNTY,"ACHILE MANOAH MILA
OLERU HUDA ABASON","Independent
NRM","Directly Elected MP
District Woman Representative"
