Constituency,Political Party,Name,Votes
GOMBA COUNTY,FDC,WITONZE JUMA BAGALAALIWO,799
KIBANDA COUNTY,NRM,BAITERA MAITEKI GEORGE,"16,406"
KIBANDA COUNTY,UPC,ELOU JOSEPH OBILENG,856
KIBANDA COUNTY,FDC,MUHUMUZA HAKIM HABIBU,"1,510"
KIBANDA COUNTY,INDEPENDENT,OTADA SAM OWOR AMOOTI,"19,731"
KIBOGA  WEST COUNTY,INDEPENDENT,KASIRYE NALUNGA RUTH,"4,376"
KIBOGA  WEST COUNTY,FDC,BULIME JOSEPH SSEBULIME,"2,946"
KIBOGA  WEST COUNTY,NRM,SSEMUGABA SAMUEL,"41,103"
LUUKA COUNTY,UFA,MAVUYO YOSE,195
LUUKA COUNTY,INDEPENDENT,NGOBI DAN K.,121
LUUKA COUNTY,INDEPENDENT,MULWANI FRANCIS,348
LUUKA COUNTY,INDEPENDENT,MAYENGO HERBERT,145
LUUKA COUNTY,INDEPENDENT,MUWEBWA HERBERT,229
LUUKA COUNTY,INDEPENDENT,BAGOOLE JOHN B. NGOBI,"29,950"
LUUKA COUNTY,INDEPENDENT,KAWANGUZI SOWEDI BILAALI,445
LUUKA COUNTY,UPC,WEKIYA DENIS,163
LUUKA COUNTY,DP,MWESIGWA FRED,189
LUUKA COUNTY,FDC,MPOOYA SETH,"1,228"
LUUKA COUNTY,NRM,MULUMBA MEDDIE,"15,209"
BUKOOLI ISLAND COUNTY,INDEPENDENT,ABOTT GEORGE OUMA,"2,715"
BUKOOLI ISLAND COUNTY,INDEPENDENT,HABEMBE OGUBI SAMUEL BEDA,199
BUKOOLI ISLAND COUNTY,INDEPENDENT,NAKYEMA SARAH,"1,859"
BUKOOLI ISLAND COUNTY,UPC,OKOTH CHARLES,68
BUKOOLI ISLAND COUNTY,NRM,OKEYOH PETER,"2,742"
BUKOOLI ISLAND COUNTY,FDC,NAMITI ROBERT BOB KANYONYI,464
BUKOOLI SOUTH COUNTY,UPC,WABWIRE KENNETH,168
BUKOOLI SOUTH COUNTY,FDC,WANDERA MARTIN,"3,907"
BUKOOLI SOUTH COUNTY,NRM,MAYENDE STEPHEN DEDE,"18,375"
BUKOOLI SOUTH COUNTY,INDEPENDENT,OCHENG PETER PATRICK,"16,754"
NTOROKO COUNTY,INDEPENDENT,BAHINDUKA MUGARRA MARTIN,"8,674"
NTOROKO COUNTY,NRM,ASIIMWE BRIAN CHRIS,"6,791"
NTOROKO COUNTY,DP,MUKWENDA MISAIRI,189
KASILO COUNTY,DP,AKOL JAMES PETER,225
KASILO COUNTY,INDEPENDENT,MAYEKU GEORGE WILLIAM,140
KASILO COUNTY,PPP,OKIROR AUGUSTINE,"1,769"
KASILO COUNTY,FDC,OKUPA ELIJAH,"15,241"
KASILO COUNTY,UPC,OPIO VALENTINE .T.,205
KASILO COUNTY,NRM,OPOLOT FRED,"7,917"
SERERE COUNTY,PPP,EBIARU JAMES,555
SERERE COUNTY,INDEPENDENT,KOLUO CHARLES PETER,"5,856"
SERERE COUNTY,FDC,OCHOLA STEPHEN,"13,652"
SERERE COUNTY,INDEPENDENT,ODONGO FRANCIS,664
SERERE COUNTY,UPC,OPIO JOSEPH LINOS,808
SERERE COUNTY,NRM,OTEKAT JOHN EMILLY,"13,132"
BUKOMANSIMBI COUNTY,INDEPENDENT,KIKOMEKO MATHIAS KAMYA,168
BUKOMANSIMBI COUNTY,INDEPENDENT,SERWADDA BAZIBUMBIRA ADAM,"1,775"
BUKOMANSIMBI COUNTY,NRM,LUBYAYI IDDI KISIKI,"17,873"
BUKOMANSIMBI COUNTY,DP,KIYINGI DEOGRATIUS,"18,318"
BUTAMBALA COUNTY,FDC,KASULE MASSY-MOSES,859
BUTAMBALA COUNTY,INDEPENDENT,SERUNJOGI EDIRISA KAWADWA,854
BUTAMBALA COUNTY,NRM,KIKULUKUNYU FAISAL SSALI,"13,188"
BUTAMBALA COUNTY,DP,MUWANGA KIVUMBI MUHAMMAD,"12,453"
KALUNGU EAST COUNTY,NRM,LULE UMAR MAWIYA,"8,655"
KALUNGU EAST COUNTY,FDC,TAMALE HANNINGTON MUGERWA,84
KALUNGU EAST COUNTY,JEEMA,SSENTONGO ABDULNOOR MUSA,80
KALUNGU EAST COUNTY,DP,MUKASA FRED DENIS MBIDDE,"6,305"
KALUNGU EAST COUNTY,INDEPENDENT,SSEMPIJJA VINCENT BAMULANGAKI,"9,285"
KALUNGU EAST COUNTY,INDEPENDENT,KOOBU GEORGE WILLIAM,353
KALUNGU EAST COUNTY,INDEPENDENT,MAYANJA LUKUMAN,148
KALUNGU WEST COUNTY,INDEPENDENT,MPONYE CHARLES SSEWANYANA,80
KALUNGU WEST COUNTY,INDEPENDENT,AGABA ALEX,184
KALUNGU WEST COUNTY,DP,SSEWUNGU JOSEPH GONZAGA,"10,133"
KALUNGU WEST COUNTY,JEEMA,MUTAZINDWA MUHAMAD,"1,351"
KALUNGU WEST COUNTY,UFA,BBAALE ABUBAKAR,833
KALUNGU WEST COUNTY,NRM,YIGA ANTHONY,"8,300"
SHEEMA COUNTY NORTH,INDEPENDENT,KABUYE JAFARI,430
SHEEMA COUNTY NORTH,INDEPENDENT,KAREMIRE ROBERT,"6,207"
SHEEMA COUNTY NORTH,FDC,JUMBE ABDU KYEYUNE,"1,019"
SHEEMA COUNTY NORTH,NRM,TUMWESIGYE ELIODA,"31,317"
SHEEMA COUNTY SOUTH,INDEPENDENT,RUBAZIBWA GODFREY,381
SHEEMA COUNTY SOUTH,INDEPENDENT,BAKAIHA APOLLO BANYIHEHO,854
SHEEMA COUNTY SOUTH,NRM,KATWIREMU YOROKAMU BATEGANA,"15,128"
SHEEMA COUNTY SOUTH,INDEPENDENT,MATSIKO EDMUND RURANGARANGA,"8,181"
SHEEMA COUNTY SOUTH,FDC,ARINAITWE EMMANUEL,"1,409"
KIBUKU COUNTY,INDEPENDENT,NDOBOLI JOHNATHAN MUGENI,148
KIBUKU COUNTY,INDEPENDENT,WAGIRA MOSES,117
KIBUKU COUNTY,INDEPENDENT,NAMUYANGU KACHA JENIPHER,"21,893"
KIBUKU COUNTY,UPC,MAGINO OBOTIE JONAH,111
KIBUKU COUNTY,DP,RAINER JULIET KAFIRE,"1,654"
KIBUKU COUNTY,NRM,KAMBA SALEH MOSES WILSON,"23,855"
KOLE COUNTY,INDEPENDENT,OLOBO LAMECH,"2,387"
KOLE COUNTY,FDC,OMARA FELIX OMARA,"1,632"
KOLE COUNTY,UPC,EBIL FRED,"23,312"
KOLE COUNTY,NRM,OTIM NAPE GEORGE WILLIAM,"19,792"
KWEEN COUNTY,INDEPENDENT,ARAPKISSA YEKKO JOHN,"9,112"
KWEEN COUNTY,FDC,CHEMUSTO TOM,405
KWEEN COUNTY,NRM,CHEMASWET ABDI FADHIL KISOS,"10,966"
KWEEN COUNTY,INDEPENDENT,CHESILYONG MELLA WILLY,"2,651"
BUKOTO COUNTY MID-WEST,INDEPENDENT,KASOZI JOSEPH MUYOMBA,"12,967"
BUKOTO COUNTY MID-WEST,INDEPENDENT,KAYIIRA ISAAC,"1,950"
BUKOTO COUNTY MID-WEST,DP,MUKASA MATHIAS,580
BUKOTO COUNTY MID-WEST,NRM,SEJJOBA ISAAC,"13,489"
BUKOTO COUNTY MID-WEST,FDC,TUMUHIMBISE NORMAN,157
BUKOTO COUNTY WEST,INDEPENDENT,BUNTU CHRISE,145
BUKOTO COUNTY WEST,FDC,KAAYA RAJAB,310
BUKOTO COUNTY WEST,NRM,KITATTA ABOUD,"11,634"
BUKOTO COUNTY WEST,JEEMA,SEMUJJU DAUDA MUGEJJERA,"1,941"
BUKOTO COUNTY WEST,LDT,SERUWUGE YASIN,266
BUKOTO COUNTY WEST,UFA,SSERUMPANISE JEREMY,211
BUKOTO COUNTY WEST,INDEPENDENT,SSEWANDIGI ERIC,"7,313"
BUKOTO COUNTYSOUTH,INDEPENDENT,BBAALE DAVID,"1,247"
BUKOTO COUNTYSOUTH,DP,BIREKERAAWO MATHIAS NSUBUGA,"9,356"
BUKOTO COUNTYSOUTH,INDEPENDENT,KATALANGA SSEMANDA JOSEPH,71
BUKOTO COUNTYSOUTH,PPP,KATO PAUL MUKASA,95
BUKOTO COUNTYSOUTH,UFA,LWANGA HERBERT WILSON,479
BUKOTO COUNTYSOUTH,NRM,MBABAALI MUYANJA,"11,785"
BUKOTO COUNTYSOUTH,CP,NALUWUGGE TONNY,116
BUKOTO COUNTYSOUTH,INDEPENDENT,SSENTAMU JULIUS,98
RUHINDA COUNTY,FDC,CHAPAA KARUHANGA KAHUUKU,"16,196"
RUHINDA COUNTY,INDEPENDENT,NAJUNA NJUNEKI GILBERT,"3,227"
RUHINDA COUNTY,UFA,MUGASIRA JOHNBOSCO,"1,273"
RUHINDA COUNTY,NRM,KAHINDA OTAFIRE,"33,377"
BOKORA COUNTY,FDC,ALIAU PAUL,"1,395"
BOKORA COUNTY,NRM,ACHIA TERENCE NACO,"14,747"
BOKORA COUNTY,INDEPENDENT,APUUN PATRICK LONGOLI,"4,387"
NGORA COUNTY,UFA,ENYUK PETER BENARD,234
NGORA COUNTY,NRM,ISAMAT ABRAHAM,"16,564"
NGORA COUNTY,UPC,AMEGA JULIUS OKWALINGA,659
NGORA COUNTY,FDC,EPETAIT FRANCIS,"16,741"
BUHWEJU COUNTY,FDC,MWIJUKYE FRANCIS,"10,399"
BUHWEJU COUNTY,INDEPENDENT,ARINAITWE DEUS,270
BUHWEJU COUNTY,INDEPENDENT,ASIIMWE JOHN,0
BUHWEJU COUNTY,NRM,BIRAARO EPHRAIM GANSHANGA,"21,383"
NWOYA COUNTY,NRM,TODWONG RICHARD,"6,491"
NWOYA COUNTY,UPC,ABUKHA ZERU OMINAWINY OKUMU,"1,383"
NWOYA COUNTY,DP,OKELLO GEOFFREY,"4,720"
NWOYA COUNTY,FDC,OYET SIMON,"4,732"
AGAGO COUNTY,UPC,OYO ALEX OKIDI,"2,701"
AGAGO COUNTY,FDC,OGENGA-LATIGO W. MORRIS,"14,993"
AGAGO COUNTY,INDEPENDENT,KOMAKECH CHARLES GATETE,"6,058"
AGAGO COUNTY,DP,OKIDI CHRISTOPHER,"1,275"
AGAGO COUNTY,NRM,OKOT JOHN AMOS,"20,244"
BUNYARUGURU COUNTY,INDEPENDENT,CADET BENJAMIN,"10,936"
BUNYARUGURU COUNTY,PPP,ABIINE ROBERT,37
BUNYARUGURU COUNTY,NRM,TINDAMANYIRE GAUDIOSO KABONDO,"9,495"
BUNYARUGURU COUNTY,FDC,MAGEZI MOSES,312
KATERERA COUNTY,NRM,KATOTO HATWIB,"13,933"
KATERERA COUNTY,FDC,TUKAHEBWA VERERIANO,"1,398"
