Candidate,Votes
AWORI AGGREY,103653
BESIGYE KIIZA,2029190
"BWENGYE
FRANCIS",22666
CHAAPA K.,10055
"MAYANJA
KIBIRIGE",73045
"MUSEVENI
KAGUTA",5088470
